osm_type,osm_id,name,operator,operator_wikidata,ref,lat,lon,footprint_m2,county_fips,state,first_seen
way,58708529,QTS Santa Clara 2,Quality Technology Services,Q18392800,,37.392722,-121.978397,3419.6,06085,CA,2025-12-23
way,59294476,STACK NVA01A - Northern Virginia,Stack Infrastructure,Q115477173,NVA01A,39.004699,-77.441764,16660.4,51107,VA,2020-09-19
way,63619642,Minnesota Gateway Data Center,,,,44.971302,-93.254652,8147.4,27053,MN,2023-03-20
way,69827429,IBM Building,,,,42.649353,-73.752745,1426.6,36001,NY,2023-04-26
way,71187940,,Verizon Wireless,,DTRT.PP2,42.326266,-83.076986,2316.4,26163,MI,2021-07-02
way,79056848,,University of New Hampshire,,,43.143619,-70.952473,2838.6,33017,NH,2024-06-12
way,79158387,VA3,Digital Realty,Q5275969,VA3,38.948464,-77.327295,8941.1,51059,VA,2017-10-10
way,79159494,IAD1,Evocative,Q136332656,IAD1,38.948816,-77.329410,1795.4,51059,VA,2023-09-12
way,79298926,CoreSite Reston Campus VA1,CoreSite,Q5170140,,38.950586,-77.364548,12823.9,51059,VA,2023-01-21
way,79818498,CoreSite Reston VA3,CoreSite,,,38.948468,-77.372370,23198.6,51059,VA,2024-12-22
way,87058670,,FirstLight,,,43.076119,-70.808043,865.5,33015,NH,2025-08-22
way,89784186,Insurance Exchange Building,,,,39.745572,-104.995691,1840.2,08031,CO,2023-04-26
way,93210344,Lincoln Rackhouse Maryland,Lincoln Rackhouse,,,39.058563,-76.964322,13591.9,24031,MD,2023-09-05
way,95349317,CyrusOne Cincinnati-Lebanon,,,,39.389019,-84.221875,18432.3,39165,OH,2024-12-27
way,95782052,Equinix NY7 Data Center,Equinix,Q851641,NY7,40.796864,-74.031141,6377.9,34017,NJ,2016-12-17
way,99813512,Equinix SV4,Equinix,Q851641,SV4,37.414564,-122.014580,11368.5,06085,CA,2016-12-16
way,99861735,Verizon - Bloomington Network,Verizon,Q919641,,44.807196,-93.375448,6359.8,27053,MN,2026-04-11
way,102129663,H5 Data Centers San Antonio,H5 Data Centers,,,29.429371,-98.486906,1941.5,48029,TX,2025-12-23
way,104082694,Aureon,,,,41.587999,-93.631009,1045.5,19153,IA,2020-09-29
way,116005354,,,,,35.588013,-81.262527,52434.8,37035,NC,2023-11-29
way,118650988,,"Patmos Hosting, Inc.",,,39.094415,-94.579432,17130.3,29095,MO,2026-04-02
way,122665255,Digital Realty New York HVN10,Digital Realty,Q5275969,HVN10,41.240846,-73.147299,12540.3,09120,CT,2024-10-04
way,124088810,Lincoln Rackhouse,,,,41.772165,-88.217091,6514.7,17043,IL,2024-12-22
way,128499684,Digital Realty CH1,Digital Realty,Q5275969,CH1,41.994237,-87.962172,43641.8,17031,IL,2023-05-19
way,131874718,H5 Minneapolis,H5,,,44.972253,-93.147460,10052.3,27123,MN,2025-12-23
way,131891022,Iron Mountain Records Storage,Iron Mountain,Q1673079,,33.420380,-112.041326,13548.3,04013,AZ,2024-01-29
way,132746406,Equinix SV8,Equinix,Q851641,SV8,37.445895,-122.160782,1118.1,06085,CA,2016-12-16
way,138260136,NCSA Petascale Computing Facility,,,,40.095259,-88.242031,4238.3,17019,IL,2024-05-08
way,138643160,LexisNexus Springfield,,,,39.912780,-83.723761,7426.4,39023,OH,2024-08-11
way,149379943,Digital Realty ORD11,Digital Realty,Q5275969,ORD11,41.874293,-87.629954,844.7,17031,IL,2024-10-30
way,151179323,Lumen,Lumen Technologies,Q5063092,,33.494336,-112.070786,2365.0,04013,AZ,2022-04-16
way,152163711,L3Harris Technologies Inc,,,,33.305358,-111.671704,1344.3,04013,AZ,2021-01-11
way,152163722,AZ Labs,,,,33.306272,-111.671700,2938.1,04013,AZ,2021-01-11
way,152449872,Serverfarm CH1,Serverfarm,,CH1,41.870944,-87.640141,5241.5,17031,IL,2023-02-07
way,154213519,Stack Infrastructure PHX01 Campus,,,,33.417241,-112.355509,277662.3,04013,AZ,
way,155739337,Aligned Energy Data Center,,,,33.659041,-112.111168,47642.1,04013,AZ,2024-07-09
way,156468497,,,,,38.913702,-77.225838,1818.9,51059,VA,2016-12-17
way,156520409,Lakeside Technology Center,,,,41.853653,-87.618359,11999.0,17031,IL,2022-02-14
way,157362579,Flexential Phoenix - Deer Valley,Flexential,Q115417504,,33.684674,-112.098357,10221.5,04013,AZ,2024-08-15
way,159959672,TierPoint,,,TUL,36.158588,-95.988631,1761.2,40143,OK,2026-04-10
way,161126131,Equinix SV5,Equinix,Q851641,SV5,37.242040,-121.781839,15451.1,06085,CA,2016-12-16
way,166431620,"Union Pacific Jack Koraleski Technology, Research & Development Center",Union Pacific Railroad,Q725793,,41.318005,-96.050345,5052.7,31055,NE,2025-06-14
way,168129695,DataBank Pittsburgh PIT2,,,,40.451369,-80.190118,5574.9,42003,PA,2022-11-01
way,169170979,Molina Healthcare,Molina Healthcare,,MHDC,34.995446,-106.618034,2375.4,35001,NM,2023-02-10
way,172739950,Switch12,Switch,,,36.061739,-115.213292,35167.0,32003,NV,2024-09-09
way,172739953,Switch Las Vegas 7,Switch,,,36.059925,-115.210245,30167.0,32003,NV,2021-09-19
way,174242795,EdgeConneX CHI01,EdgeConneX,Q115477226,CHI01,42.000775,-87.950769,11166.2,17031,IL,2023-05-19
way,178331621,,,,,39.377776,-77.411519,5948.0,24021,MD,2025-10-03
way,186515922,,,,,35.898326,-81.547464,13831.9,37027,NC,2020-09-04
way,187574082,Verizon Wireline Network Building,,,,40.494903,-74.443095,2995.9,34023,NJ,2021-08-11
way,190868312,RagingWire CA3,NTT,Q1054787,CA3,38.644239,-121.498763,14062.4,06067,CA,2023-11-29
way,191655977,,,,,41.221486,-95.863822,21157.1,19155,IA,2020-09-04
way,192307107,360 Spear Street Data Center,Digital Realty,Q5275969,,37.788992,-122.390137,3214.4,06075,CA,2016-12-16
way,193611192,Equinix New York Secaucus NY5,Equinix,Q851641,,40.778602,-74.072301,19644.9,34017,NJ,2016-12-17
